id,genre,unique_id
267,Drama,267%Drama
268,Comedy,268%Comedy
268,Romance,268%Romance
268,Adventure,268%Adventure
269,Action,269%Action
269,Adventure,269%Adventure
269,Comedy,269%Comedy
269,Fantasy,269%Fantasy
270,Fantasy,270%Fantasy
270,Horror,270%Horror
270,Action,270%Action
270,Children,270%Children
271,Action,271%Action
271,Sci-Fi,271%Sci-Fi
271,Adventure,271%Adventure
272,Drama,272%Drama
272,Action,272%Action
272,Mystery,272%Mystery
273,Romance,273%Romance
273,Drama,273%Drama
273,Action,273%Action
273,Fantasy,273%Fantasy
274,Action,274%Action
274,Romance,274%Romance
274,Sci-Fi,274%Sci-Fi
275,Romance,275%Romance
275,Comedy,275%Comedy
276,Comedy,276%Comedy
276,Action,276%Action
276,Romance,276%Romance
276,Sci-Fi,276%Sci-Fi
277,Drama,277%Drama
277,Action,277%Action
277,Romance,277%Romance
277,Comedy,277%Comedy
277,Sci-Fi,277%Sci-Fi
278,Action,278%Action
278,Comedy,278%Comedy
278,Sci-Fi,278%Sci-Fi
279,Mystery,279%Mystery
279,Thriller,279%Thriller
279,Horror,279%Horror
279,Historical,279%Historical
279,Fantasy,279%Fantasy
280,Comedy,280%Comedy
280,Drama,280%Drama
280,Fantasy,280%Fantasy
280,Adventure,280%Adventure
281,Romance,281%Romance
281,Comedy,281%Comedy
281,Action,281%Action
282,Action,282%Action
282,Mystery,282%Mystery
282,Romance,282%Romance
282,Children,282%Children
282,Drama,282%Drama
283,Drama,283%Drama
283,Romance,283%Romance
283,Historical,283%Historical
284,Action,284%Action
284,Drama,284%Drama
284,Romance,284%Romance
285,Drama,285%Drama
285,Action,285%Action
285,Sci-Fi,285%Sci-Fi
285,Adventure,285%Adventure
286,Action,286%Action
286,Adventure,286%Adventure
286,Sci-Fi,286%Sci-Fi
287,Action,287%Action
288,Adventure,288%Adventure
288,Comedy,288%Comedy
288,Sci-Fi,288%Sci-Fi
288,Action,288%Action
289,Drama,289%Drama
289,Comedy,289%Comedy
290,Romance,290%Romance
290,Sci-Fi,290%Sci-Fi
290,Action,290%Action
291,Drama,291%Drama
291,Comedy,291%Comedy
291,Romance,291%Romance
291,Fantasy,291%Fantasy
292,Drama,292%Drama
292,Action,292%Action
293,Sci-Fi,293%Sci-Fi
293,Fantasy,293%Fantasy
293,Comedy,293%Comedy
294,Comedy,294%Comedy
294,Sci-Fi,294%Sci-Fi
294,Drama,294%Drama
294,Action,294%Action
294,Adventure,294%Adventure
295,Action,295%Action
295,Adventure,295%Adventure
295,Drama,295%Drama
295,Sci-Fi,295%Sci-Fi
296,Sci-Fi,296%Sci-Fi
296,Action,296%Action
296,Children,296%Children
296,Comedy,296%Comedy
296,Fantasy,296%Fantasy
296,Adventure,296%Adventure
297,Action,297%Action
297,Romance,297%Romance
297,Adventure,297%Adventure
297,Comedy,297%Comedy
298,Adventure,298%Adventure
298,Fantasy,298%Fantasy
